storm_id,storm_name,timestamp,pressure_jma,pressure_jtwc,pressure_cma,pressure_hko,pressure_consensus_median,pressure_min,pressure_max,pressure_range
201330,HAIYAN,2013-11-06 06:00:00,930.0,922.0,935.0,920.0,932.5,930.0,935.0,5.0
201330,HAIYAN,2013-11-06 09:00:00,925.0,917.0,928.0,915.0,926.5,925.0,928.0,3.0
201330,HAIYAN,2013-11-06 12:00:00,920.0,911.0,920.0,910.0,920.0,920.0,920.0,0.0
201330,HAIYAN,2013-11-06 15:00:00,913.0,909.0,920.0,905.0,916.5,913.0,920.0,7.0
201330,HAIYAN,2013-11-06 18:00:00,905.0,907.0,920.0,900.0,912.5,905.0,920.0,15.0
201330,HAIYAN,2013-11-06 21:00:00,905.0,907.0,915.0,898.0,910.0,905.0,915.0,10.0
201330,HAIYAN,2013-11-07 00:00:00,905.0,907.0,910.0,895.0,907.5,905.0,910.0,5.0
201330,HAIYAN,2013-11-07 03:00:00,905.0,905.0,908.0,895.0,906.5,905.0,908.0,3.0
201330,HAIYAN,2013-11-07 06:00:00,905.0,903.0,905.0,895.0,905.0,905.0,905.0,0.0
201330,HAIYAN,2013-11-07 09:00:00,900.0,899.0,900.0,895.0,900.0,900.0,900.0,0.0
201330,HAIYAN,2013-11-07 12:00:00,895.0,895.0,895.0,895.0,895.0,895.0,895.0,0.0
201330,HAIYAN,2013-11-07 15:00:00,895.0,895.0,893.0,893.0,894.0,893.0,895.0,2.0
201330,HAIYAN,2013-11-07 18:00:00,895.0,895.0,890.0,890.0,892.5,890.0,895.0,5.0
201330,HAIYAN,2013-11-07 21:00:00,903.0,897.0,895.0,895.0,899.0,895.0,903.0,8.0
201330,HAIYAN,2013-11-08 00:00:00,910.0,899.0,900.0,900.0,905.0,900.0,910.0,10.0
201330,HAIYAN,2013-11-08 03:00:00,925.0,907.0,915.0,905.0,920.0,915.0,925.0,10.0
201330,HAIYAN,2013-11-08 06:00:00,940.0,914.0,930.0,910.0,935.0,930.0,940.0,10.0
201330,HAIYAN,2013-11-08 09:00:00,940.0,920.0,935.0,913.0,937.5,935.0,940.0,5.0
201330,HAIYAN,2013-11-08 12:00:00,940.0,926.0,940.0,915.0,940.0,940.0,940.0,0.0
201330,HAIYAN,2013-11-08 15:00:00,940.0,930.0,945.0,920.0,942.5,940.0,945.0,5.0
201330,HAIYAN,2013-11-08 18:00:00,940.0,933.0,950.0,925.0,945.0,940.0,950.0,10.0
201330,HAIYAN,2013-11-08 21:00:00,940.0,935.0,950.0,930.0,945.0,940.0,950.0,10.0
201330,HAIYAN,2013-11-09 00:00:00,940.0,937.0,950.0,935.0,945.0,940.0,950.0,10.0
201330,HAIYAN,2013-11-09 03:00:00,940.0,941.0,950.0,935.0,945.0,940.0,950.0,10.0
201330,HAIYAN,2013-11-09 06:00:00,940.0,944.0,950.0,935.0,945.0,940.0,950.0,10.0
201330,HAIYAN,2013-11-09 09:00:00,943.0,946.0,950.0,938.0,946.5,943.0,950.0,7.0
201330,HAIYAN,2013-11-09 12:00:00,945.0,948.0,950.0,940.0,947.5,945.0,950.0,5.0
201330,HAIYAN,2013-11-09 15:00:00,948.0,950.0,950.0,945.0,949.0,948.0,950.0,2.0
201330,HAIYAN,2013-11-09 18:00:00,950.0,952.0,950.0,950.0,950.0,950.0,950.0,0.0
201330,HAIYAN,2013-11-09 21:00:00,953.0,954.0,953.0,953.0,953.0,953.0,953.0,0.0
201330,HAIYAN,2013-11-10 00:00:00,955.0,956.0,955.0,955.0,955.0,955.0,955.0,0.0
201330,HAIYAN,2013-11-10 03:00:00,958.0,960.0,958.0,955.0,958.0,958.0,958.0,0.0
201330,HAIYAN,2013-11-10 06:00:00,960.0,963.0,960.0,955.0,960.0,960.0,960.0,0.0
201330,HAIYAN,2013-11-10 09:00:00,963.0,963.0,963.0,955.0,963.0,963.0,963.0,0.0
201330,HAIYAN,2013-11-10 12:00:00,965.0,963.0,965.0,955.0,965.0,965.0,965.0,0.0
201330,HAIYAN,2013-11-10 15:00:00,970.0,967.0,970.0,963.0,970.0,970.0,970.0,0.0
201330,HAIYAN,2013-11-10 18:00:00,975.0,970.0,975.0,970.0,975.0,975.0,975.0,0.0
201330,HAIYAN,2013-11-10 21:00:00,983.0,974.0,978.0,973.0,980.5,978.0,983.0,5.0
201330,HAIYAN,2013-11-11 00:00:00,990.0,978.0,980.0,975.0,985.0,980.0,990.0,10.0
201330,HAIYAN,2013-11-11 03:00:00,997.0,984.0,988.0,980.0,992.5,988.0,997.0,9.0
201330,HAIYAN,2013-11-11 06:00:00,1004.0,989.0,995.0,984.0,999.5,995.0,1004.0,9.0
